0, 1, 1
1, 1, 1
2, 1, 1
3, 1, 1
4, 1, 1
5, 1, 1
6, 1, 1
7, 1, 1
8, 1, 1
9, 1, 1
10, 1, 1
11, 1, 1
12, 1, 1
13, 1, 1
14, 1, 1
15, 1, 1
16, 1, 1
17, 1, 1
18, 1, 1
19, 1, 1
20, 1, 1
21, 1, 1
22, 1, 1
23, 1, 1
24, 1, 1
25, 1, 1
26, 1, 1
27, 1, 1
28, 1, 1
29, 1, 1
30, 1, 1
31, 1, 1
32, 1, 1
33, 1, 1
34, 1, 1
35, 1, 1
36, 1, 1
37, 1, 1
38, 1, 1
39, 1, 1
40, 1, 1
41, 1, 1
42, 1, 1
43, 1, 1
44, 1, 1
45, 1, 1
46, 1, 1
47, 1, 1
48, 1, 1
49, 1, 1
50, 1, 1
51, 1, 1
52, 1, 1
53, 1, 1
54, 1, 1
55, 1, 1
56, 1, 1
57, 1, 1
58, 1, 1
59, 1, 1
60, 1, 1
61, 1, 1
62, 1, 1
63, 1, 1
64, 1, 1
65, 1, 1
66, 1, 1
67, 1, 1
68, 1, 1
69, 1, 1
70, 0, 1
71, 1, 1
72, 1, 1
73, 0, 1
74, 0, 1
75, 1, 1
76, 1, 1
77, 1, 1
78, 0, 1
79, 1, 1
80, 1, 1
81, 1, 1
82, 1, 1
83, 1, 1
84, 1, 1
85, 1, 1
86, 1, 1
87, 1, 1
88, 1, 1
89, 1, 1
90, 1, 1
91, 1, 1
92, 0, 1
93, 1, 0
94, 1, 1
95, 1, 1
96, 1, 1
97, 1, 1
98, 1, 1
99, 1, 1
100, 1, 1
101, 1, 1
102, 1, 1
103, 0, 1
104, 1, 1
105, 1, 1
106, 1, 1
107, 1, 1
108, 1, 1
109, 1, 1
110, 1, 1
111, 1, 1
112, 0, 1
113, 1, 1
114, 1, 1
115, 0, 1
116, 1, 1
117, 1, 1
118, 1, 1
119, 1, 1
120, 0, 1
121, 1, 1
122, 1, 1
123, 1, 1
124, 1, 1
125, 1, 1
126, 1, 1
127, 0, 1
128, 0, 1
129, 0, 1
130, 0, 1
131, 1, 1
132, 1, 1
133, 0, 1
134, 1, 1
135, 0, 1
136, 0, 1
137, 0, 1
138, 1, 1
139, 1, 1
140, 0, 1
141, 0, 1
142, 1, 1
143, 0, 1
144, 0, 1
145, 0, 1
146, 0, 1
147, 0, 1
148, 0, 1
149, 0, 1
150, 0, 1
151, 0, 1
152, 0, 1
153, 0, 1
154, 0, 1
155, 0, 1
156, 1, 1
157, 1, 1
158, 1, 1
159, 1, 1
160, 1, 1
161, 1, 1
162, 1, 1
163, 0, 1
164, 0, 1
165, 0, 1
166, 1, 1
167, 0, 1
168, 0, 1
169, 1, 1
170, 1, 1
171, 0, 1
172, 1, 1
173, 1, 1
174, 0, 1
175, 0, 1
176, 1, 1
177, 1, 1
178, 1, 1
179, 0, 1
180, 1, 1
181, 1, 1
182, 1, 1
183, 1, 1
184, 1, 1
185, 1, 1
186, 1, 1
187, 1, 1
188, 1, 1
189, 1, 1
190, 1, 1
191, 1, 1
192, 1, 1
193, 0, 1
194, 0, 1
195, 0, 1
196, 1, 1
197, 0, 1
198, 0, 1
199, 0, 1
200, 0, 1
201, 0, 1
202, 0, 1
203, 0, 1
204, 0, 1
205, 0, 1
206, 0, 1
207, 0, 1
208, 0, 1
209, 0, 1
210, 1, 1
211, 1, 1
212, 0, 1
213, 0, 1
214, 1, 1
215, 0, 1
216, 1, 1
217, 0, 1
218, 1, 1
219, 0, 1
220, 0, 1
221, 0, 1
222, 1, 1
223, 1, 1
224, 1, 1
225, 0, 1
226, 0, 1
227, 0, 1
228, 1, 1
229, 0, 1
230, 1, 1
231, 1, 1
232, 1, 1
233, 0, 1
234, 1, 1
235, 0, 1
236, 0, 1
237, 1, 1
238, 0, 1
239, 1, 1
240, 0, 1
241, 1, 1
242, 0, 1
243, 0, 1
244, 0, 1
245, 0, 1
246, 1, 1
247, 0, 1
248, 0, 1
249, 0, 1
250, 0, 1
251, 1, 1
252, 0, 1
253, 0, 1
254, 0, 1
255, 0, 1
256, 1, 1
257, 0, 1
258, 0, 1
259, 0, 1
260, 1, 1
261, 1, 1
262, 0, 1
263, 0, 1
264, 0, 1
265, 1, 1
266, 1, 1
267, 0, 1
268, 0, 1
269, 0, 1
270, 0, 1
271, 0, 1
272, 0, 1
273, 0, 1
274, 0, 1
275, 0, 1
276, 0, 1
277, 0, 1
278, 0, 1
279, 0, 1
280, 0, 1
281, 1, 1
282, 0, 1
283, 0, 1
284, 0, 1
285, 0, 1
286, 0, 1
287, 0, 1
288, 0, 1
289, 0, 1
290, 1, 1
291, 0, 1
292, 0, 1
293, 0, 1
294, 0, 1
295, 0, 1
296, 0, 1
297, 0, 1
298, 0, 1
299, 1, 1
300, 0, 1
301, 0, 1
302, 0, 1
303, 0, 1
304, 1, 1
305, 0, 1
306, 1, 1
307, 1, 1
308, 0, 1
309, 0, 1
310, 1, 1
311, 0, 1
312, 0, 1
313, 0, 1
314, 0, 1
315, 0, 1
316, 0, 1
317, 0, 1
318, 0, 1
319, 1, 1
320, 0, 1
321, 0, 1
322, 0, 1
323, 0, 1
324, 0, 1
325, 1, 1
326, 0, 1
327, 0, 1
328, 0, 1
329, 0, 1
330, 0, 1
331, 0, 1
332, 0, 1
333, 0, 1
334, 1, 1
335, 0, 1
336, 1, 1
337, 1, 1
338, 0, 1
339, 0, 1
340, 1, 1
341, 0, 1
342, 1, 1
343, 1, 1
344, 0, 1
345, 0, 1
346, 0, 1
347, 0, 1
348, 0, 1
349, 0, 1
350, 1, 1
351, 0, 1
352, 0, 1
353, 0, 1
354, 0, 1
355, 0, 1
356, 0, 1
357, 0, 1
358, 0, 1
359, 1, 1
360, 0, 1
361, 1, 1
362, 0, 1
363, 0, 1
364, 0, 1
365, 1, 1
366, 0, 1
367, 0, 1
368, 0, 1
369, 0, 1
370, 0, 1
371, 0, 1
372, 0, 1
373, 0, 1
374, 0, 1
375, 0, 1
376, 0, 1
377, 0, 1
378, 0, 1
379, 0, 1
380, 0, 1
381, 0, 1
382, 0, 1
383, 0, 1
384, 0, 1
385, 0, 1
386, 1, 1
387, 0, 1
388, 0, 1
389, 1, 1
390, 0, 1
391, 0, 1
392, 0, 1
393, 0, 1
394, 1, 1
395, 0, 1
396, 0, 1
397, 0, 1
398, 0, 1
399, 0, 1
400, 0, 1
401, 1, 1
402, 1, 1
403, 0, 1
404, 0, 1
405, 0, 1
406, 0, 1
407, 1, 1
408, 0, 1
409, 0, 1
410, 0, 1
411, 0, 1
412, 0, 1
413, 0, 1
414, 0, 1
415, 0, 1
416, 1, 1
417, 0, 1
418, 1, 1
419, 0, 1
420, 1, 1
421, 1, 1
422, 1, 1
423, 1, 1
424, 1, 1
425, 1, 1
426, 1, 1
427, 1, 1
428, 1, 1
429, 1, 1
430, 1, 1
431, 1, 1
432, 1, 1
433, 1, 1
434, 1, 1
435, 1, 1
436, 1, 1
437, 1, 1
438, 1, 1
439, 1, 1
440, 1, 1
441, 1, 1
442, 1, 1
443, 1, 1
444, 1, 1
445, 1, 1
446, 1, 1
447, 1, 1
448, 1, 1
449, 1, 1
450, 1, 1
451, 1, 1
452, 1, 1
453, 1, 1
454, 1, 1
455, 1, 1
456, 0, 1
457, 1, 1
458, 0, 1
459, 0, 1
460, 1, 1
461, 1, 1
462, 1, 1
463, 0, 1
464, 1, 1
465, 0, 1
466, 0, 1
467, 0, 1
468, 0, 1
469, 0, 1
470, 0, 1
471, 0, 1
472, 0, 1
473, 0, 1
474, 0, 1
475, 0, 1
476, 0, 1
477, 1, 1
478, 1, 1
479, 1, 1
480, 1, 1
481, 0, 1
482, 0, 1
483, 0, 1
484, 0, 1
485, 0, 1
486, 0, 1
487, 0, 1
488, 0, 1
489, 0, 1
490, 1, 1
491, 0, 1
492, 1, 1
493, 1, 1
494, 1, 1
495, 1, 1
496, 1, 1
497, 1, 1
498, 1, 1
499, 1, 1
500, 1, 1
501, 1, 1
502, 1, 1
503, 1, 1
504, 1, 1
505, 1, 1
506, 1, 1
507, 1, 1
508, 1, 1
509, 1, 1
510, 1, 1
511, 1, 1
512, 1, 1
513, 1, 1
514, 1, 1
515, 1, 1
516, 1, 1
517, 1, 1
518, 1, 1
519, 1, 1
520, 1, 1
521, 1, 1
522, 1, 1
523, 1, 1
524, 1, 1
525, 1, 1
526, 0, 1
527, 1, 1
528, 1, 1
529, 1, 1
530, 1, 1
531, 1, 1
532, 1, 1
533, 1, 1
534, 1, 1
535, 1, 1
536, 1, 1
537, 1, 1
538, 1, 1
539, 0, 1
540, 1, 1
541, 1, 1
542, 1, 1
543, 1, 1
544, 1, 1
545, 0, 1
546, 0, 1
547, 1, 1
548, 0, 1
549, 1, 1
550, 1, 1
551, 1, 1
552, 1, 1
553, 1, 1
554, 1, 1
555, 0, 1
556, 1, 1
557, 0, 1
558, 0, 1
559, 1, 1
560, 1, 1
561, 1, 1
562, 1, 1
563, 1, 1
564, 1, 1
565, 0, 1
566, 0, 1
567, 0, 1
568, 0, 1
569, 0, 1
570, 1, 1
571, 1, 1
572, 0, 1
573, 1, 1
574, 1, 1
575, 1, 1
576, 0, 1
577, 0, 1
578, 0, 1
579, 0, 1
580, 0, 1
581, 1, 1
582, 1, 1
583, 1, 1
584, 1, 1
585, 1, 1
586, 1, 1
587, 1, 1
588, 1, 1
589, 1, 1
590, 1, 1
591, 1, 1
592, 1, 1
593, 1, 1
594, 1, 1
595, 1, 1
596, 1, 1
597, 1, 1
598, 1, 1
599, 0, 1
600, 0, 1
601, 1, 1
602, 0, 1
603, 0, 1
604, 1, 1
605, 1, 1
606, 1, 1
607, 1, 1
608, 1, 1
609, 1, 1
610, 1, 1
611, 1, 1
612, 1, 1
613, 1, 1
614, 1, 1
615, 0, 1
616, 1, 1
617, 0, 1
618, 0, 1
619, 0, 1
620, 0, 1
621, 1, 1
622, 1, 1
623, 1, 1
624, 0, 1
625, 1, 1
626, 1, 1
627, 0, 1
628, 0, 1
629, 0, 1
630, 0, 1
631, 1, 1
632, 0, 1
633, 0, 1
634, 0, 1
635, 0, 1
636, 0, 1
637, 0, 1
638, 0, 1
639, 0, 1
640, 0, 1
641, 0, 1
642, 0, 1
643, 0, 1
644, 0, 1
645, 0, 1
646, 0, 1
647, 0, 1
648, 0, 1
649, 0, 1
650, 0, 1
651, 0, 1
652, 0, 1
653, 0, 1
654, 0, 1
655, 0, 1
656, 0, 1
657, 1, 1
658, 1, 1
659, 0, 1
660, 1, 1
661, 0, 1
662, 1, 1
663, 0, 1
664, 1, 1
665, 1, 1
666, 0, 1
667, 1, 1
668, 1, 1
669, 0, 1
670, 0, 1
671, 0, 1
672, 1, 1
673, 0, 1
674, 0, 1
675, 1, 1
676, 1, 1
677, 1, 1
678, 1, 1
679, 1, 1
680, 1, 1
681, 0, 1
682, 1, 1
683, 1, 1
684, 1, 1
685, 1, 1
686, 1, 1
687, 1, 1
688, 1, 1
689, 1, 1
690, 1, 1
691, 1, 1
692, 1, 1
693, 1, 1
694, 1, 1
695, 1, 1
696, 1, 1
697, 1, 1
698, 1, 1
699, 1, 1
700, 1, 1
701, 1, 1
702, 1, 1
703, 0, 1
704, 0, 1
705, 1, 1
706, 1, 1
707, 1, 1
708, 0, 1
709, 0, 1
710, 0, 1
711, 0, 1
712, 1, 1
713, 1, 1
714, 1, 1
715, 1, 1
716, 1, 1
717, 1, 1
718, 1, 1
719, 1, 1
720, 1, 1
721, 1, 1
722, 1, 1
723, 1, 1
724, 1, 1
725, 1, 1
726, 1, 1
727, 1, 1
728, 1, 1
729, 1, 1
730, 1, 1
731, 1, 1
732, 1, 1
733, 1, 1
734, 1, 1
735, 1, 1
736, 1, 1
737, 1, 1
738, 1, 1
739, 1, 1
740, 1, 1
741, 1, 1
742, 1, 1
743, 1, 1
744, 1, 1
745, 1, 1
746, 1, 1
747, 1, 1
748, 1, 1
749, 1, 1
750, 1, 1
751, 1, 1
752, 1, 1
753, 1, 1
754, 1, 1
755, 1, 1
756, 1, 1
757, 1, 1
758, 1, 1
759, 1, 1
760, 1, 1
761, 1, 1
762, 1, 1
763, 1, 1
764, 1, 1
765, 1, 1
766, 1, 1
767, 1, 1
768, 1, 1
769, 1, 1
770, 1, 1
771, 1, 1
772, 1, 1
773, 1, 1
774, 1, 1
775, 1, 1
776, 1, 1
777, 1, 1
778, 1, 1
779, 1, 1
780, 1, 1
781, 1, 1
782, 1, 1
783, 1, 1
784, 1, 1
785, 1, 1
786, 1, 1
787, 1, 1
788, 1, 1
789, 1, 1
790, 1, 1
791, 1, 1
792, 1, 1
793, 1, 1
794, 1, 1
795, 1, 1
796, 1, 1
797, 1, 1
798, 1, 1
799, 1, 1
800, 1, 1
801, 1, 1
802, 0, 1
803, 1, 1
804, 1, 1
805, 1, 1
806, 1, 1
807, 1, 1
808, 1, 1
809, 1, 1
810, 1, 1
811, 1, 1
812, 1, 1
813, 1, 1
814, 1, 1
815, 1, 1
816, 1, 1
817, 1, 1
818, 1, 1
819, 1, 1
820, 1, 1
821, 1, 1
822, 1, 1
823, 1, 1
824, 0, 1
825, 1, 1
826, 1, 1
827, 1, 1
828, 1, 1
829, 1, 1
830, 1, 1
831, 1, 1
832, 1, 1
833, 1, 1
834, 1, 1
835, 1, 1
836, 1, 1
837, 1, 1
838, 1, 1
839, 1, 1
840, 1, 1
841, 1, 1
842, 1, 1
843, 1, 1
844, 1, 1
845, 1, 1
846, 1, 1
847, 1, 1
848, 1, 1
849, 1, 1
850, 1, 1
851, 1, 1
852, 1, 1
853, 1, 1
854, 1, 1
855, 1, 1
856, 1, 1
857, 1, 1
858, 1, 1
859, 1, 1
860, 1, 1
861, 1, 1
862, 1, 1
863, 1, 1
864, 1, 1
865, 1, 1
866, 1, 1
867, 1, 1
868, 1, 1
869, 1, 1
870, 1, 1
871, 1, 1
872, 1, 1
873, 1, 1
874, 1, 1
875, 1, 1
876, 1, 1
877, 1, 1
878, 1, 1
879, 1, 1
880, 1, 1
881, 1, 1
882, 1, 1
883, 1, 1
884, 1, 1
885, 1, 1
886, 1, 1
887, 1, 1
888, 1, 1
889, 1, 1
890, 1, 1
891, 1, 1
892, 1, 1
893, 1, 1
894, 1, 1
895, 1, 1
896, 1, 1
897, 1, 1
898, 1, 1
899, 1, 1
900, 1, 1
901, 1, 1
902, 1, 1
903, 1, 1
904, 1, 1
905, 1, 1
906, 1, 1
907, 1, 1
908, 1, 1
909, 1, 1
910, 1, 1
911, 1, 1
912, 1, 1
913, 1, 1
914, 1, 1
915, 1, 1
916, 1, 1
917, 1, 1
918, 1, 1
919, 1, 1
920, 1, 1
921, 1, 1
922, 1, 1
923, 1, 1
924, 1, 1
925, 1, 1
926, 1, 1
927, 1, 1
928, 1, 1
929, 1, 1
930, 1, 1
931, 1, 1
932, 1, 1
933, 1, 1
934, 1, 1
935, 1, 1
936, 1, 1
937, 1, 1
938, 1, 1
939, 1, 1
940, 1, 1
941, 1, 1
942, 1, 1
943, 1, 1
944, 1, 1
945, 1, 1
946, 1, 1
947, 1, 1
948, 1, 1
949, 1, 1
950, 1, 1
951, 1, 1
952, 1, 1
953, 1, 1
954, 1, 1
955, 1, 1
956, 1, 1
957, 1, 1
958, 1, 1
959, 1, 1
960, 0, 1
961, 1, 1
962, 1, 1
963, 1, 1
964, 1, 1
965, 1, 1
966, 1, 1
967, 1, 1
968, 1, 1
969, 1, 1
970, 0, 1
971, 1, 1
972, 0, 1
973, 1, 1
974, 1, 1
975, 1, 1
976, 1, 1
977, 1, 1
978, 1, 1
979, 1, 1
980, 1, 1
981, 1, 1
982, 1, 1
983, 1, 1
984, 1, 1
985, 1, 1
986, 1, 1
987, 1, 1
988, 1, 1
989, 0, 1
990, 1, 1
991, 0, 1
992, 1, 1
993, 0, 1
994, 0, 1
995, 0, 1
996, 0, 1
997, 0, 1
998, 0, 1
999, 0, 1

