0, 1, 1
1, 1, 1
2, 1, 1
3, 1, 1
4, 1, 1
5, 1, 1
6, 1, 1
7, 1, 1
8, 1, 1
9, 1, 1
10, 1, 1
11, 1, 1
12, 1, 1
13, 1, 1
14, 1, 1
15, 1, 1
16, 1, 1
17, 1, 1
18, 1, 1
19, 1, 1
20, 1, 1
21, 0, 1
22, 1, 1
23, 1, 1
24, 1, 1
25, 1, 1
26, 0, 1
27, 1, 1
28, 1, 1
29, 1, 1
30, 0, 1
31, 1, 1
32, 1, 1
33, 1, 1
34, 1, 1
35, 1, 1
36, 1, 1
37, 1, 1
38, 1, 1
39, 1, 1
40, 1, 1
41, 1, 1
42, 1, 1
43, 1, 1
44, 1, 1
45, 1, 1
46, 1, 1
47, 0, 1
48, 1, 1
49, 1, 1
50, 1, 1
51, 1, 1
52, 1, 1
53, 1, 1
54, 1, 1
55, 1, 1
56, 1, 1
57, 0, 1
58, 0, 1
59, 1, 1
60, 1, 1
61, 1, 1
62, 1, 1
63, 1, 1
64, 1, 1
65, 1, 1
66, 1, 1
67, 1, 1
68, 1, 1
69, 1, 1
70, 1, 1
71, 0, 1
72, 1, 1
73, 1, 1
74, 0, 1
75, 0, 1
76, 0, 1
77, 0, 1
78, 1, 1
79, 1, 1
80, 1, 1
81, 1, 1
82, 0, 1
83, 1, 1
84, 0, 1
85, 0, 1
86, 0, 1
87, 0, 1
88, 1, 1
89, 1, 1
90, 1, 1
91, 1, 1
92, 1, 1
93, 1, 1
94, 0, 1
95, 0, 1
96, 1, 1
97, 1, 1
98, 1, 1
99, 1, 1
100, 1, 1
101, 1, 1
102, 1, 1
103, 1, 1
104, 1, 1
105, 1, 1
106, 1, 1
107, 1, 1
108, 1, 1
109, 1, 1
110, 1, 1
111, 0, 1
112, 1, 1
113, 1, 1
114, 1, 1
115, 1, 1
116, 0, 1
117, 1, 1
118, 1, 1
119, 1, 1
120, 1, 1
121, 0, 1
122, 1, 1
123, 1, 1
124, 1, 1
125, 0, 1
126, 0, 1
127, 1, 1
128, 1, 1
129, 1, 1
130, 1, 1
131, 1, 1
132, 1, 1
133, 1, 1
134, 1, 1
135, 1, 1
136, 0, 1
137, 0, 1
138, 0, 1
139, 1, 1
140, 0, 1
141, 0, 1
142, 0, 1
143, 0, 1
144, 0, 1
145, 0, 1
146, 1, 1
147, 1, 1
148, 1, 1
149, 1, 1
150, 1, 1
151, 0, 1
152, 1, 1
153, 0, 1
154, 1, 1
155, 1, 1
156, 1, 1
157, 1, 1
158, 1, 1
159, 0, 1
160, 0, 1
161, 1, 1
162, 0, 1
163, 0, 1
164, 1, 1
165, 1, 1
166, 1, 1
167, 1, 1
168, 1, 1
169, 1, 1
170, 1, 1
171, 1, 1
172, 1, 1
173, 0, 1
174, 0, 1
175, 0, 1
176, 0, 1
177, 0, 1
178, 1, 1
179, 1, 1
180, 1, 1
181, 1, 1
182, 1, 1
183, 0, 1
184, 1, 1
185, 0, 1
186, 0, 1
187, 0, 1
188, 1, 1
189, 1, 1
190, 1, 1
191, 1, 1
192, 1, 1
193, 1, 1
194, 1, 1
195, 1, 1
196, 1, 1
197, 1, 1
198, 0, 1
199, 0, 1
200, 0, 1
201, 1, 1
202, 0, 1
203, 0, 1
204, 0, 1
205, 0, 1
206, 0, 1
207, 0, 1
208, 0, 1
209, 0, 1
210, 1, 1
211, 1, 1
212, 1, 1
213, 1, 1
214, 1, 1
215, 1, 1
216, 0, 1
217, 0, 1
218, 0, 1
219, 0, 1
220, 0, 1
221, 0, 1
222, 0, 1
223, 0, 1
224, 0, 1
225, 0, 1
226, 1, 1
227, 0, 1
228, 0, 1
229, 1, 1
230, 0, 1
231, 0, 1
232, 0, 1
233, 1, 1
234, 0, 1
235, 0, 1
236, 0, 1
237, 0, 1
238, 0, 1
239, 0, 1
240, 0, 1
241, 0, 1
242, 0, 1
243, 0, 1
244, 1, 1
245, 1, 1
246, 1, 1
247, 1, 1
248, 1, 1
249, 1, 1
250, 1, 1
251, 0, 1
252, 0, 1
253, 1, 1
254, 0, 1
255, 1, 1
256, 1, 1
257, 1, 1
258, 1, 1
259, 1, 1
260, 1, 1
261, 1, 1
262, 1, 1
263, 1, 1
264, 0, 1
265, 1, 1
266, 0, 1
267, 1, 1
268, 0, 1
269, 0, 1
270, 0, 1
271, 0, 1
272, 0, 1
273, 0, 1
274, 0, 1
275, 1, 1
276, 0, 1
277, 0, 1
278, 0, 1
279, 0, 1
280, 0, 1
281, 0, 1
282, 0, 1
283, 0, 1
284, 1, 1
285, 0, 1
286, 0, 1
287, 0, 1
288, 0, 1
289, 0, 1
290, 0, 1
291, 0, 1
292, 0, 1
293, 0, 1
294, 1, 1
295, 0, 1
296, 0, 1
297, 1, 1
298, 0, 1
299, 0, 1
300, 0, 1
301, 0, 1
302, 0, 1
303, 0, 1
304, 0, 1
305, 0, 1
306, 0, 1
307, 1, 1
308, 0, 1
309, 0, 1
310, 0, 1
311, 1, 1
312, 1, 1
313, 0, 1
314, 0, 1
315, 1, 1
316, 0, 1
317, 0, 1
318, 0, 1
319, 1, 1
320, 1, 1
321, 1, 1
322, 0, 1
323, 0, 1
324, 0, 1
325, 1, 1
326, 1, 1
327, 1, 1
328, 1, 1
329, 1, 1
330, 1, 1
331, 1, 1
332, 0, 1
333, 0, 1
334, 1, 1
335, 0, 1
336, 0, 1
337, 0, 1
338, 0, 1
339, 1, 1
340, 1, 1
341, 1, 1
342, 1, 1
343, 0, 1
344, 1, 1
345, 0, 1
346, 1, 1
347, 0, 1
348, 1, 1
349, 0, 1
350, 0, 1
351, 0, 1
352, 0, 1
353, 0, 1
354, 0, 1
355, 0, 1
356, 0, 1
357, 0, 1
358, 0, 1
359, 0, 1
360, 0, 1
361, 0, 1
362, 0, 1
363, 0, 1
364, 0, 1
365, 0, 1
366, 0, 1
367, 0, 1
368, 0, 1
369, 0, 1
370, 0, 1
371, 0, 1
372, 0, 1
373, 0, 1
374, 0, 1
375, 0, 1
376, 0, 1
377, 0, 1
378, 0, 1
379, 0, 1
380, 0, 1
381, 0, 1
382, 0, 1
383, 0, 1
384, 0, 1
385, 0, 1
386, 0, 1
387, 0, 1
388, 0, 1
389, 0, 1
390, 0, 1
391, 0, 1
392, 0, 1
393, 0, 1
394, 0, 1
395, 0, 1
396, 0, 1
397, 0, 1
398, 0, 1
399, 0, 1
400, 0, 1
401, 0, 1
402, 0, 1
403, 0, 1
404, 0, 1
405, 0, 1
406, 0, 1
407, 0, 1
408, 0, 1
409, 0, 1
410, 0, 1
411, 0, 1
412, 0, 1
413, 0, 1
414, 0, 1
415, 0, 1
416, 0, 1
417, 0, 1
418, 0, 1
419, 0, 1
420, 0, 1
421, 0, 1
422, 0, 1
423, 0, 1
424, 0, 1
425, 0, 1
426, 0, 1
427, 0, 1
428, 0, 1
429, 1, 1
430, 1, 1
431, 1, 1
432, 1, 1
433, 0, 1
434, 0, 1
435, 1, 1
436, 1, 1
437, 1, 1
438, 1, 1
439, 1, 1
440, 1, 1
441, 1, 1
442, 1, 1
443, 1, 1
444, 1, 1
445, 1, 1
446, 1, 1
447, 1, 1
448, 1, 1
449, 1, 1
450, 1, 1
451, 1, 1
452, 1, 1
453, 1, 1
454, 1, 1
455, 1, 1
456, 1, 1
457, 0, 1
458, 1, 1
459, 0, 1
460, 0, 1
461, 0, 1
462, 1, 1
463, 1, 1
464, 1, 1
465, 1, 1
466, 0, 1
467, 1, 1
468, 0, 1
469, 1, 1
470, 0, 1
471, 1, 1
472, 1, 1
473, 1, 1
474, 0, 1
475, 1, 1
476, 0, 1
477, 1, 1
478, 0, 1
479, 0, 1
480, 1, 1
481, 1, 1
482, 0, 1
483, 0, 1
484, 0, 1
485, 1, 1
486, 0, 1
487, 0, 1
488, 0, 1
489, 0, 1
490, 0, 1
491, 0, 1
492, 0, 1
493, 1, 1
494, 0, 1
495, 0, 1
496, 1, 1
497, 1, 1
498, 0, 1
499, 0, 1
500, 0, 1
501, 0, 1
502, 0, 1
503, 0, 1
504, 1, 1
505, 0, 1
506, 1, 1
507, 0, 1
508, 1, 1
509, 1, 1
510, 0, 1
511, 0, 1
512, 1, 1
513, 0, 1
514, 0, 1
515, 0, 1
516, 0, 1
517, 0, 1
518, 0, 1
519, 0, 1
520, 0, 1
521, 0, 1
522, 0, 1
523, 0, 1
524, 1, 1
525, 0, 1
526, 1, 1
527, 0, 1
528, 0, 1
529, 0, 1
530, 0, 1
531, 1, 1
532, 0, 1
533, 1, 1
534, 0, 1
535, 1, 1
536, 0, 1
537, 1, 1
538, 1, 1
539, 1, 1
540, 1, 1
541, 1, 1
542, 0, 1
543, 1, 1
544, 1, 1
545, 1, 1
546, 0, 1
547, 1, 1
548, 0, 1
549, 0, 1
550, 1, 1
551, 0, 1
552, 1, 1
553, 1, 1
554, 0, 1
555, 1, 1
556, 0, 1
557, 0, 1
558, 0, 1
559, 0, 1
560, 1, 1
561, 0, 1
562, 0, 1
563, 0, 1
564, 0, 1
565, 0, 1
566, 0, 1
567, 1, 1
568, 1, 1
569, 0, 1
570, 0, 1
571, 1, 1
572, 0, 1
573, 0, 1
574, 0, 1
575, 0, 1
576, 1, 1
577, 0, 1
578, 0, 1
579, 0, 1
580, 0, 1
581, 0, 1
582, 0, 1
583, 1, 1
584, 0, 1
585, 0, 1
586, 1, 1
587, 0, 1
588, 0, 1
589, 0, 1
590, 0, 1
591, 0, 1
592, 1, 1
593, 0, 1
594, 0, 1
595, 0, 1
596, 0, 1
597, 0, 1
598, 0, 1
599, 0, 1
600, 0, 1
601, 0, 1
602, 0, 1
603, 0, 1
604, 0, 1
605, 0, 1
606, 0, 1
607, 0, 1
608, 0, 1
609, 0, 1
610, 0, 1
611, 0, 1
612, 0, 1
613, 0, 1
614, 1, 1
615, 0, 1
616, 0, 1
617, 0, 1
618, 0, 1
619, 0, 1
620, 0, 1
621, 0, 1
622, 0, 1
623, 0, 1
624, 0, 1
625, 0, 1
626, 0, 1
627, 0, 1
628, 0, 1
629, 1, 1
630, 0, 1
631, 0, 1
632, 0, 1
633, 0, 1
634, 0, 1
635, 0, 1
636, 0, 1
637, 0, 1
638, 1, 1
639, 0, 1
640, 0, 1
641, 0, 1
642, 0, 1
643, 0, 1
644, 0, 1
645, 0, 1
646, 1, 1
647, 0, 1
648, 0, 1
649, 0, 1
650, 0, 1
651, 0, 1
652, 0, 1
653, 0, 1
654, 0, 1
655, 0, 1
656, 0, 1
657, 0, 1
658, 0, 1
659, 0, 1
660, 0, 1
661, 0, 1
662, 0, 1
663, 0, 1
664, 0, 1
665, 1, 1
666, 1, 1
667, 0, 1
668, 0, 1
669, 0, 1
670, 1, 1
671, 1, 1
672, 1, 1
673, 0, 1
674, 0, 1
675, 0, 1
676, 0, 1
677, 1, 1
678, 0, 1
679, 0, 1
680, 1, 1
681, 0, 1
682, 1, 1
683, 0, 1
684, 1, 1
685, 1, 1
686, 0, 1
687, 1, 1
688, 0, 1
689, 0, 1
690, 0, 1
691, 0, 1
692, 0, 1
693, 0, 1
694, 0, 1
695, 1, 1
696, 0, 1
697, 0, 1
698, 0, 1
699, 0, 1
700, 0, 1
701, 0, 1
702, 0, 1
703, 0, 1
704, 0, 1
705, 0, 1
706, 0, 1
707, 1, 1
708, 0, 1
709, 0, 1
710, 0, 1
711, 0, 1
712, 0, 1
713, 0, 1
714, 0, 1
715, 0, 1
716, 0, 1
717, 0, 1
718, 0, 1
719, 0, 1
720, 0, 1
721, 0, 1
722, 0, 1
723, 0, 1
724, 0, 1
725, 0, 1
726, 0, 1
727, 1, 1
728, 0, 1
729, 0, 1
730, 0, 1
731, 0, 1
732, 0, 1
733, 0, 1
734, 0, 1
735, 1, 1
736, 1, 1
737, 0, 1
738, 0, 1
739, 1, 1
740, 0, 1
741, 1, 1
742, 0, 1
743, 0, 1
744, 1, 1
745, 0, 1
746, 0, 1
747, 0, 1
748, 0, 1
749, 1, 1
750, 0, 1
751, 0, 1
752, 0, 1
753, 1, 1
754, 0, 1
755, 1, 1
756, 1, 0
757, 0, 1
758, 0, 1
759, 0, 1
760, 1, 1
761, 0, 1
762, 0, 1
763, 0, 1
764, 0, 1
765, 0, 1
766, 0, 1
767, 0, 1
768, 0, 1
769, 0, 1
770, 0, 0
771, 0, 1
772, 0, 1
773, 0, 1
774, 0, 1
775, 0, 1
776, 0, 1
777, 0, 1
778, 0, 1
779, 0, 1
780, 0, 1
781, 0, 1
782, 0, 1
783, 0, 1
784, 0, 1
785, 0, 1
786, 0, 1
787, 0, 1
788, 0, 1
789, 0, 1
790, 0, 1
791, 0, 1
792, 0, 1
793, 0, 1
794, 0, 1
795, 0, 1
796, 0, 1
797, 0, 1
798, 0, 1
799, 0, 1
800, 0, 1
801, 0, 1
802, 0, 1
803, 0, 1
804, 0, 1
805, 0, 1
806, 1, 1
807, 0, 1
808, 0, 1
809, 0, 1
810, 0, 1
811, 0, 1
812, 0, 1
813, 0, 1
814, 0, 1
815, 0, 1
816, 0, 1
817, 0, 1
818, 0, 1
819, 0, 1
820, 1, 1
821, 1, 1
822, 0, 1
823, 1, 1
824, 1, 1
825, 1, 1
826, 0, 1
827, 0, 1
828, 0, 1
829, 0, 1
830, 0, 1
831, 0, 1
832, 0, 1
833, 0, 1
834, 0, 1
835, 0, 1
836, 1, 1
837, 1, 1
838, 1, 1
839, 1, 1
840, 1, 1
841, 1, 1
842, 0, 1
843, 1, 1
844, 1, 1
845, 1, 1
846, 0, 1
847, 1, 1
848, 1, 1
849, 1, 1
850, 1, 1
851, 1, 1
852, 0, 1
853, 1, 1
854, 1, 1
855, 1, 1
856, 0, 1
857, 0, 1
858, 0, 1
859, 0, 1
860, 1, 1
861, 1, 1
862, 0, 1
863, 0, 1
864, 1, 1
865, 1, 1
866, 1, 1
867, 1, 1
868, 0, 1
869, 0, 1
870, 0, 1
871, 1, 1
872, 1, 1
873, 1, 1
874, 1, 1
875, 1, 1
876, 1, 1
877, 1, 1
878, 1, 1
879, 1, 1
880, 1, 1
881, 1, 1
882, 1, 1
883, 1, 1
884, 1, 1
885, 0, 1
886, 1, 1
887, 1, 1
888, 1, 1
889, 0, 1
890, 0, 1
891, 0, 1
892, 0, 1
893, 1, 1
894, 0, 1
895, 0, 1
896, 0, 1
897, 1, 1
898, 1, 1
899, 1, 1
900, 0, 1
901, 1, 1
902, 1, 1
903, 0, 1
904, 0, 1
905, 0, 1
906, 1, 1
907, 0, 1
908, 0, 1
909, 1, 1
910, 0, 1
911, 0, 1
912, 0, 1
913, 0, 1
914, 0, 1
915, 0, 1
916, 0, 1
917, 0, 1
918, 0, 1
919, 0, 1
920, 0, 1
921, 0, 1
922, 0, 1
923, 0, 1
924, 0, 1
925, 0, 1
926, 0, 1
927, 0, 1
928, 0, 1
929, 0, 1
930, 0, 1
931, 0, 1
932, 0, 1
933, 0, 1
934, 0, 1
935, 0, 1
936, 0, 1
937, 0, 1
938, 0, 1
939, 0, 1
940, 0, 1
941, 0, 1
942, 1, 1
943, 0, 1
944, 0, 1
945, 0, 1
946, 0, 1
947, 0, 1
948, 1, 1
949, 0, 1
950, 1, 1
951, 1, 1
952, 0, 1
953, 0, 1
954, 0, 1
955, 0, 1
956, 0, 1
957, 0, 1
958, 0, 1
959, 0, 1
960, 0, 1
961, 0, 1
962, 0, 1
963, 0, 1
964, 0, 1
965, 1, 1
966, 0, 1
967, 0, 1
968, 0, 1
969, 0, 1
970, 0, 1
971, 0, 1
972, 0, 1
973, 0, 1
974, 0, 1
975, 0, 1
976, 0, 1
977, 0, 1
978, 0, 1
979, 0, 1
980, 0, 1
981, 0, 1
982, 0, 1
983, 0, 1
984, 0, 1
985, 0, 1
986, 0, 1
987, 0, 1
988, 0, 1
989, 1, 1
990, 0, 1
991, 0, 1
992, 0, 1
993, 0, 1
994, 0, 1
995, 0, 1
996, 0, 1
997, 0, 1
998, 0, 1
999, 0, 1

